student_id,code_module,code_presentation,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result
104476,AAA,2013J,M,Ireland,Post Graduate Qualification,,35-55,0,60,N,Pass
106247,AAA,2013J,M,South Region,HE Qualification,80-90%,35-55,0,60,N,Withdrawn
106577,AAA,2013J,M,East Midlands Region,Lower Than A Level,20-30%,0-35,0,60,N,Pass
110175,AAA,2013J,M,East Anglian Region,HE Qualification,80-90%,35-55,0,60,N,Pass
111717,AAA,2013J,F,East Anglian Region,HE Qualification,90-100%,35-55,0,60,N,Pass
113295,AAA,2013J,M,Yorkshire Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass
114017,AAA,2013J,F,North Region,Post Graduate Qualification,,35-55,0,60,N,Pass
114999,AAA,2013J,M,Yorkshire Region,HE Qualification,60-70%,35-55,0,60,N,Pass
116541,AAA,2013J,M,Wales,HE Qualification,0-10%,0-35,0,60,N,Pass
116692,AAA,2013J,M,East Anglian Region,A Level or Equivalent,70-80%,35-55,0,60,N,Pass
118983,AAA,2013J,M,East Midlands Region,HE Qualification,30-40%,0-35,0,120,N,Pass
123044,AAA,2013J,M,South Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass
127582,AAA,2013J,F,East Midlands Region,A Level or Equivalent,40-50%,0-35,0,180,N,Pass
129955,AAA,2013J,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,Withdrawn
132976,AAA,2013J,F,East Anglian Region,Lower Than A Level,80-90%,35-55,0,120,N,Pass
134143,AAA,2013J,F,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,Distinction
135335,AAA,2013J,F,East Anglian Region,Lower Than A Level,20-30%,0-35,0,180,N,Withdrawn
135400,AAA,2013J,F,South East Region,Lower Than A Level,90-100%,35-55,0,60,Y,Withdrawn
137873,AAA,2013J,M,South West Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass
141355,AAA,2013J,F,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,240,N,Pass
141377,AAA,2013J,M,South West Region,A Level or Equivalent,90-100%,0-35,0,345,N,Withdrawn
142326,AAA,2013J,F,North Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass
144801,AAA,2013J,F,South Region,HE Qualification,80-90%,35-55,0,60,N,Pass
145130,AAA,2013J,M,South West Region,HE Qualification,60-70%,0-35,0,120,N,Pass
146188,AAA,2013J,F,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,Y,Fail
147756,AAA,2013J,M,North Region,Lower Than A Level,60-70%,0-35,0,120,N,Fail
147793,AAA,2013J,F,North Region,Lower Than A Level,80-90%,0-35,0,90,N,Withdrawn
148993,AAA,2013J,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,Y,Withdrawn
151358,AAA,2013J,F,London Region,A Level or Equivalent,80-90%,0-35,0,150,N,Pass
155550,AAA,2013J,M,London Region,A Level or Equivalent,0-10%,35-55,0,420,N,Pass
155854,AAA,2013J,F,East Midlands Region,A Level or Equivalent,20-30%,35-55,0,60,N,Pass
155984,AAA,2013J,F,East Anglian Region,Lower Than A Level,70-80%,0-35,0,60,N,Withdrawn
157568,AAA,2013J,F,South West Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass
159954,AAA,2013J,M,East Midlands Region,A Level or Equivalent,40-50%,35-55,0,60,N,Withdrawn
164259,AAA,2013J,M,Scotland,A Level or Equivalent,70-80%,0-35,0,60,N,Pass
167906,AAA,2013J,F,Yorkshire Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass
168936,AAA,2013J,F,West Midlands Region,Lower Than A Level,10-20,35-55,0,60,N,Pass
172112,AAA,2013J,M,Ireland,HE Qualification,,35-55,0,60,N,Pass
172797,AAA,2013J,F,Ireland,A Level or Equivalent,,35-55,0,60,N,Pass
174782,AAA,2013J,M,East Anglian Region,HE Qualification,90-100%,55<=,0,60,N,Pass
175392,AAA,2013J,M,North Region,HE Qualification,,35-55,0,60,N,Pass
175932,AAA,2013J,M,North Western Region,HE Qualification,70-80%,35-55,0,60,N,Pass
175991,AAA,2013J,F,North Western Region,A Level or Equivalent,80-90%,0-35,0,180,N,Fail
180753,AAA,2013J,M,South West Region,A Level or Equivalent,30-40%,0-35,0,120,N,Pass
181316,AAA,2013J,F,South West Region,A Level or Equivalent,80-90%,35-55,0,120,N,Withdrawn
183096,AAA,2013J,F,South West Region,A Level or Equivalent,60-70%,0-35,0,60,N,Pass
183947,AAA,2013J,M,London Region,A Level or Equivalent,10-20,0-35,0,180,N,Pass
184271,AAA,2013J,M,South West Region,HE Qualification,80-90%,35-55,0,170,N,Pass
185439,AAA,2013J,M,London Region,HE Qualification,10-20,0-35,0,120,N,Fail
186149,AAA,2013J,M,Scotland,HE Qualification,30-40%,35-55,0,60,N,Pass
187100,AAA,2013J,M,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,Distinction
188278,AAA,2013J,M,Yorkshire Region,A Level or Equivalent,70-80%,35-55,0,120,N,Withdrawn
189879,AAA,2013J,M,Scotland,A Level or Equivalent,90-100%,0-35,0,120,N,Pass
192183,AAA,2013J,F,South West Region,Lower Than A Level,90-100%,0-35,0,60,N,Pass
195262,AAA,2013J,M,London Region,A Level or Equivalent,90-100%,0-35,0,60,N,Withdrawn
200860,AAA,2013J,M,London Region,Lower Than A Level,50-60%,35-55,0,60,N,Pass
202635,AAA,2013J,F,Wales,A Level or Equivalent,30-40%,0-35,0,60,N,Withdrawn
205350,AAA,2013J,M,South West Region,HE Qualification,80-90%,35-55,0,60,N,Pass
205719,AAA,2013J,M,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,90,Y,Fail
227499,AAA,2013J,F,London Region,A Level or Equivalent,10-20,35-55,0,60,N,Distinction
227517,AAA,2013J,M,Ireland,HE Qualification,,0-35,0,180,N,Fail
228082,AAA,2013J,M,London Region,HE Qualification,60-70%,0-35,0,60,N,Pass
228222,AAA,2013J,M,East Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass
229179,AAA,2013J,M,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass
229361,AAA,2013J,M,East Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,Pass
231554,AAA,2013J,M,London Region,A Level or Equivalent,40-50%,0-35,0,240,N,Pass
235507,AAA,2013J,M,Yorkshire Region,A Level or Equivalent,90-100%,0-35,0,240,N,Withdrawn
236284,AAA,2013J,M,Scotland,Post Graduate Qualification,90-100%,0-35,0,60,N,Pass
238007,AAA,2013J,M,South Region,HE Qualification,90-100%,55<=,0,60,N,Pass
240712,AAA,2013J,M,London Region,HE Qualification,80-90%,0-35,0,80,N,Pass
240884,AAA,2013J,M,South Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass
241649,AAA,2013J,M,East Anglian Region,HE Qualification,90-100%,35-55,0,60,N,Pass
241729,AAA,2013J,F,East Midlands Region,HE Qualification,60-70%,35-55,0,60,N,Fail
242793,AAA,2013J,M,London Region,HE Qualification,20-30%,35-55,0,60,N,Pass
246834,AAA,2013J,M,South West Region,A Level or Equivalent,90-100%,35-55,0,60,N,Pass
248270,AAA,2013J,M,North Western Region,Lower Than A Level,20-30%,0-35,0,90,N,Pass
255548,AAA,2013J,M,Wales,Lower Than A Level,20-30%,35-55,0,60,N,Pass
256815,AAA,2013J,M,North Western Region,HE Qualification,10-20,0-35,0,120,N,Pass
258392,AAA,2013J,F,West Midlands Region,Lower Than A Level,30-40%,0-35,0,60,N,Pass
258894,AAA,2013J,F,East Anglian Region,Lower Than A Level,70-80%,35-55,0,60,N,Pass
260355,AAA,2013J,F,London Region,A Level or Equivalent,80-90%,35-55,0,60,N,Withdrawn
262011,AAA,2013J,M,East Midlands Region,A Level or Equivalent,20-30%,35-55,0,60,N,Pass
262934,AAA,2013J,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass
268073,AAA,2013J,M,East Anglian Region,A Level or Equivalent,10-20,35-55,0,90,N,Fail
268733,AAA,2013J,M,East Anglian Region,A Level or Equivalent,30-40%,0-35,0,180,N,Withdrawn
271251,AAA,2013J,M,Scotland,A Level or Equivalent,80-90%,35-55,0,60,N,Pass
277880,AAA,2013J,F,South East Region,A Level or Equivalent,60-70%,0-35,0,60,N,Withdrawn
279572,AAA,2013J,M,London Region,Lower Than A Level,40-50%,0-35,0,60,N,Distinction
281022,AAA,2013J,F,Scotland,A Level or Equivalent,30-40%,0-35,0,150,N,Pass
281250,AAA,2013J,M,Wales,Lower Than A Level,70-80%,35-55,0,60,N,Fail
281589,AAA,2013J,M,North Western Region,HE Qualification,30-40%,0-35,0,60,N,Fail
282821,AAA,2013J,M,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass
286488,AAA,2013J,M,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,Pass
287548,AAA,2013J,M,East Anglian Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass
290201,AAA,2013J,M,Wales,A Level or Equivalent,20-30%,0-35,0,60,N,Pass
290757,AAA,2013J,M,North Western Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass
291334,AAA,2013J,M,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,Distinction
292923,AAA,2013J,F,South East Region,A Level or Equivalent,90-100%,35-55,0,180,N,Withdrawn
293699,AAA,2013J,M,East Midlands Region,A Level or Equivalent,70-80%,0-35,0,120,N,Pass
294570,AAA,2013J,M,South East Region,HE Qualification,90-100%,55<=,0,60,N,Pass
294594,AAA,2013J,M,South East Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass
295741,AAA,2013J,M,South East Region,A Level or Equivalent,40-50%,35-55,0,240,N,Fail
296332,AAA,2013J,M,South Region,Post Graduate Qualification,90-100%,55<=,0,60,N,Distinction
298696,AAA,2013J,F,South East Region,HE Qualification,80-90%,0-35,0,60,N,Pass
300398,AAA,2013J,M,West Midlands Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass
302302,AAA,2013J,F,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,60,N,Fail
305152,AAA,2013J,M,North Western Region,A Level or Equivalent,70-80%,0-35,0,60,N,Fail
305386,AAA,2013J,M,West Midlands Region,A Level or Equivalent,70-80%,0-35,0,120,Y,Pass
305539,AAA,2013J,F,Wales,Lower Than A Level,80-90%,0-35,0,120,N,Withdrawn
306107,AAA,2013J,M,West Midlands Region,A Level or Equivalent,50-60%,35-55,0,120,N,Pass
306466,AAA,2013J,M,East Anglian Region,A Level or Equivalent,90-100%,35-55,0,60,N,Pass
306897,AAA,2013J,F,London Region,A Level or Equivalent,10-20,0-35,0,60,N,Pass
307061,AAA,2013J,F,East Midlands Region,HE Qualification,10-20,0-35,0,60,N,Pass
307866,AAA,2013J,M,West Midlands Region,A Level or Equivalent,70-80%,0-35,0,60,N,Pass
311917,AAA,2013J,M,South West Region,A Level or Equivalent,60-70%,55<=,0,120,N,Pass
312537,AAA,2013J,M,South Region,Post Graduate Qualification,90-100%,55<=,0,60,N,Distinction
312782,AAA,2013J,M,South Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass
318933,AAA,2013J,F,East Anglian Region,HE Qualification,80-90%,0-35,0,120,N,Pass
319047,AAA,2013J,F,East Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,Pass
321942,AAA,2013J,M,South Region,HE Qualification,90-100%,55<=,0,60,N,Pass
324002,AAA,2013J,M,East Anglian Region,HE Qualification,40-50%,35-55,0,60,N,Pass
324084,AAA,2013J,F,South West Region,A Level or Equivalent,10-20,35-55,0,60,N,Pass
324282,AAA,2013J,M,South East Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass
331358,AAA,2013J,F,South Region,HE Qualification,90-100%,35-55,0,60,N,Withdrawn
332789,AAA,2013J,F,East Anglian Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass
333059,AAA,2013J,M,Scotland,A Level or Equivalent,20-30%,0-35,0,120,N,Pass
333323,AAA,2013J,M,Scotland,HE Qualification,80-90%,0-35,0,60,N,Pass
334259,AAA,2013J,F,London Region,A Level or Equivalent,50-60%,0-35,0,150,N,Fail
334333,AAA,2013J,F,South West Region,A Level or Equivalent,0-10%,0-35,0,240,Y,Withdrawn
335764,AAA,2013J,F,South East Region,A Level or Equivalent,20-30%,0-35,0,60,N,Withdrawn
336207,AAA,2013J,M,East Anglian Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass
339972,AAA,2013J,M,North Region,A Level or Equivalent,80-90%,0-35,0,60,N,Pass
341872,AAA,2013J,M,East Anglian Region,Lower Than A Level,40-50%,0-35,0,180,N,Fail
342007,AAA,2013J,F,West Midlands Region,HE Qualification,70-80%,0-35,0,60,N,Withdrawn
342514,AAA,2013J,M,Scotland,Lower Than A Level,50-60%,55<=,0,60,N,Pass
342972,AAA,2013J,M,Yorkshire Region,HE Qualification,0-10%,0-35,0,60,N,Pass
343446,AAA,2013J,M,Ireland,HE Qualification,70-80%,35-55,0,120,N,Pass
344282,AAA,2013J,M,Yorkshire Region,A Level or Equivalent,10-20,0-35,0,60,N,Fail
345068,AAA,2013J,M,East Anglian Region,A Level or Equivalent,60-70%,0-35,0,180,Y,Pass
345357,AAA,2013J,M,Yorkshire Region,A Level or Equivalent,30-40%,0-35,0,60,N,Distinction
346025,AAA,2013J,M,East Anglian Region,A Level or Equivalent,50-60%,0-35,0,120,N,Pass
346843,AAA,2013J,F,Scotland,HE Qualification,50-60%,35-55,0,120,N,Fail
350188,AAA,2013J,M,North Western Region,HE Qualification,80-90%,35-55,0,60,N,Pass
354858,AAA,2013J,M,South Region,HE Qualification,90-100%,35-55,0,120,N,Withdrawn
357668,AAA,2013J,M,Yorkshire Region,A Level or Equivalent,10-20,0-35,0,60,N,Fail
364177,AAA,2013J,M,East Anglian Region,Lower Than A Level,70-80%,35-55,0,60,N,Fail
365244,AAA,2013J,F,London Region,A Level or Equivalent,0-10%,0-35,0,120,N,Pass
365642,AAA,2013J,M,East Anglian Region,Lower Than A Level,10-20,35-55,0,60,N,Pass
366483,AAA,2013J,M,South West Region,HE Qualification,40-50%,0-35,0,60,N,Pass
368194,AAA,2013J,F,South West Region,A Level or Equivalent,50-60%,0-35,0,120,Y,Pass
368824,AAA,2013J,M,Wales,HE Qualification,50-60%,35-55,0,120,N,Fail
368963,AAA,2013J,M,Yorkshire Region,Lower Than A Level,0-10%,0-35,0,180,N,Pass
376439,AAA,2013J,M,North Region,HE Qualification,,0-35,0,60,N,Distinction
376581,AAA,2013J,F,South Region,A Level or Equivalent,80-90%,35-55,0,60,N,Pass
380953,AAA,2013J,M,East Midlands Region,A Level or Equivalent,80-90%,0-35,0,60,N,Pass
383254,AAA,2013J,M,Yorkshire Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass
386924,AAA,2013J,M,Ireland,Lower Than A Level,,0-35,0,120,N,Pass
386952,AAA,2013J,M,Yorkshire Region,A Level or Equivalent,70-80%,0-35,0,120,N,Pass
388722,AAA,2013J,F,London Region,Lower Than A Level,80-90%,35-55,0,60,N,Pass
388885,AAA,2013J,M,South West Region,A Level or Equivalent,90-100%,35-55,0,60,N,Pass
390890,AAA,2013J,M,Scotland,A Level or Equivalent,0-10%,0-35,0,90,N,Withdrawn
392756,AAA,2013J,M,West Midlands Region,A Level or Equivalent,70-80%,0-35,0,120,N,Fail
392931,AAA,2013J,F,North Western Region,A Level or Equivalent,50-60%,35-55,0,120,N,Pass
393207,AAA,2013J,M,North Western Region,A Level or Equivalent,60-70%,0-35,0,60,N,Pass
396872,AAA,2013J,M,Yorkshire Region,HE Qualification,50-60%,0-35,0,180,N,Pass
398552,AAA,2013J,M,Yorkshire Region,Lower Than A Level,90-100%,0-35,0,240,N,Fail
401869,AAA,2013J,F,South East Region,Lower Than A Level,80-90%,0-35,0,60,N,Pass
402470,AAA,2013J,M,South West Region,Lower Than A Level,50-60%,35-55,0,60,N,Pass
404804,AAA,2013J,M,Wales,Lower Than A Level,20-30%,35-55,0,120,N,Pass
405088,AAA,2013J,M,North Region,A Level or Equivalent,20-30%,0-35,0,120,N,Pass
405961,AAA,2013J,M,Scotland,A Level or Equivalent,90-100%,0-35,0,240,Y,Withdrawn
414117,AAA,2013J,M,Yorkshire Region,A Level or Equivalent,50-60%,0-35,0,120,N,Pass
415969,AAA,2013J,M,West Midlands Region,HE Qualification,0-10%,35-55,0,90,N,Withdrawn
420087,AAA,2013J,M,Scotland,A Level or Equivalent,40-50%,0-35,0,60,Y,Fail
429958,AAA,2013J,F,North Western Region,A Level or Equivalent,70-80%,0-35,0,60,N,Pass
441018,AAA,2013J,F,South East Region,A Level or Equivalent,70-80%,0-35,0,150,N,Pass
441888,AAA,2013J,M,London Region,A Level or Equivalent,20-30%,0-35,0,120,N,Pass
442442,AAA,2013J,M,South West Region,HE Qualification,80-90%,0-35,0,120,N,Withdrawn
444677,AAA,2013J,M,London Region,HE Qualification,30-40%,0-35,0,60,N,Distinction
470588,AAA,2013J,M,South East Region,HE Qualification,90-100%,35-55,0,60,N,Withdrawn
489455,AAA,2013J,F,South West Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass
494424,AAA,2013J,F,North Region,A Level or Equivalent,80-90%,0-35,0,60,N,Fail
495284,AAA,2013J,M,South East Region,HE Qualification,80-90%,0-35,0,120,N,Pass
498857,AAA,2013J,M,North Western Region,HE Qualification,80-90%,35-55,0,60,N,Pass
508818,AAA,2013J,M,London Region,A Level or Equivalent,40-50%,0-35,0,120,N,Pass
512460,AAA,2013J,M,South East Region,HE Qualification,90-100%,0-35,0,120,N,Pass
544103,AAA,2013J,M,North Western Region,HE Qualification,40-50%,0-35,0,120,N,Pass
550383,AAA,2013J,M,South East Region,HE Qualification,60-70%,0-35,0,60,N,Pass
564450,AAA,2013J,M,West Midlands Region,HE Qualification,80-90%,0-35,0,120,N,Fail
568601,AAA,2013J,F,Scotland,HE Qualification,30-40%,0-35,0,60,N,Withdrawn
572652,AAA,2013J,M,West Midlands Region,HE Qualification,70-80%,0-35,0,120,N,Pass
580389,AAA,2013J,M,Ireland,HE Qualification,90-100%,0-35,0,120,N,Pass
581129,AAA,2013J,M,East Anglian Region,A Level or Equivalent,30-40%,0-35,0,120,N,Fail
588775,AAA,2013J,M,South West Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass
591774,AAA,2013J,M,South Region,Post Graduate Qualification,90-100%,35-55,0,60,N,Pass
603861,AAA,2013J,M,North Region,HE Qualification,,55<=,0,60,N,Withdrawn
606143,AAA,2013J,M,Scotland,Post Graduate Qualification,90-100%,35-55,0,60,N,Fail
704156,AAA,2013J,M,South Region,HE Qualification,90-100%,55<=,0,120,N,Pass
705379,AAA,2013J,M,West Midlands Region,A Level or Equivalent,60-70%,55<=,0,120,N,Distinction
721259,AAA,2013J,F,South Region,Lower Than A Level,50-60%,55<=,0,120,N,Withdrawn
749412,AAA,2013J,M,South Region,Lower Than A Level,70-80%,55<=,0,60,N,Pass
760729,AAA,2013J,M,West Midlands Region,A Level or Equivalent,60-70%,55<=,0,60,N,Distinction
905042,AAA,2013J,F,East Anglian Region,A Level or Equivalent,90-100%,35-55,0,60,N,Pass
949618,AAA,2013J,F,South West Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass
958987,AAA,2013J,M,North Western Region,HE Qualification,40-50%,35-55,0,60,N,Pass
968578,AAA,2013J,F,East Anglian Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass
969076,AAA,2013J,M,South West Region,A Level or Equivalent,80-90%,35-55,0,180,N,Withdrawn
971027,AAA,2013J,F,West Midlands Region,HE Qualification,90-100%,35-55,0,60,N,Pass
978739,AAA,2013J,M,South Region,HE Qualification,90-100%,35-55,0,60,N,Pass
1035023,AAA,2013J,F,London Region,Lower Than A Level,30-40%,35-55,0,60,N,Pass
1105478,AAA,2013J,M,Scotland,HE Qualification,80-90%,55<=,0,60,N,Pass
1352868,AAA,2013J,M,Yorkshire Region,A Level or Equivalent,20-30%,35-55,0,60,N,Withdrawn
1401935,AAA,2013J,M,West Midlands Region,A Level or Equivalent,70-80%,35-55,0,60,N,Fail
1402638,AAA,2013J,F,East Midlands Region,HE Qualification,30-40%,35-55,0,60,N,Pass
1414443,AAA,2013J,F,Yorkshire Region,A Level or Equivalent,10-20,35-55,0,120,N,Fail
1456619,AAA,2013J,M,South West Region,A Level or Equivalent,90-100%,35-55,0,60,N,Withdrawn
1465690,AAA,2013J,M,West Midlands Region,HE Qualification,40-50%,35-55,0,120,N,Pass
1472925,AAA,2013J,F,East Anglian Region,Lower Than A Level,40-50%,35-55,0,60,Y,Fail
1488959,AAA,2013J,M,London Region,A Level or Equivalent,70-80%,35-55,0,60,N,Pass
1518989,AAA,2013J,F,South East Region,Lower Than A Level,80-90%,35-55,0,60,N,Pass
1618738,AAA,2013J,M,London Region,Lower Than A Level,90-100%,35-55,0,60,N,Pass
1620151,AAA,2013J,M,South Region,HE Qualification,90-100%,35-55,0,60,N,Fail
1626710,AAA,2013J,M,North Western Region,A Level or Equivalent,60-70%,35-55,0,60,N,Distinction
1640609,AAA,2013J,M,West Midlands Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass
1686521,AAA,2013J,F,North Western Region,Lower Than A Level,50-60%,35-55,0,60,N,Withdrawn
1729319,AAA,2013J,F,Scotland,HE Qualification,40-50%,35-55,0,60,N,Pass
1746134,AAA,2013J,M,East Anglian Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass
1758449,AAA,2013J,M,South Region,Lower Than A Level,30-40%,35-55,0,75,N,Withdrawn
1763015,AAA,2013J,F,Scotland,A Level or Equivalent,10-20,35-55,0,60,N,Withdrawn
1765788,AAA,2013J,M,South East Region,HE Qualification,70-80%,55<=,0,60,N,Pass
1801229,AAA,2013J,M,Ireland,HE Qualification,,35-55,0,60,N,Pass
1801641,AAA,2013J,M,Scotland,A Level or Equivalent,30-40%,35-55,0,60,N,Pass
1847830,AAA,2013J,M,South West Region,Lower Than A Level,40-50%,35-55,0,60,N,Pass
1860318,AAA,2013J,M,South West Region,Lower Than A Level,40-50%,35-55,0,300,Y,Pass
1889511,AAA,2013J,M,Yorkshire Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass
1889577,AAA,2013J,F,South Region,A Level or Equivalent,70-80%,35-55,0,60,Y,Pass
1894188,AAA,2013J,F,East Midlands Region,A Level or Equivalent,80-90%,0-35,0,60,N,Pass
1938355,AAA,2013J,M,South Region,A Level or Equivalent,90-100%,35-55,0,60,N,Pass
1942396,AAA,2013J,F,East Anglian Region,Lower Than A Level,40-50%,35-55,0,120,Y,Pass
1970390,AAA,2013J,M,West Midlands Region,Lower Than A Level,0-10%,35-55,0,60,N,Withdrawn
1976139,AAA,2013J,M,Ireland,Lower Than A Level,50-60%,35-55,0,120,N,Pass
2011876,AAA,2013J,F,East Anglian Region,A Level or Equivalent,90-100%,0-35,0,60,Y,Pass
2012966,AAA,2013J,M,North Western Region,Lower Than A Level,30-40%,35-55,0,60,N,Pass
2051699,AAA,2013J,F,South West Region,Lower Than A Level,70-80%,35-55,0,60,N,Pass
2062879,AAA,2013J,F,East Anglian Region,A Level or Equivalent,60-70%,0-35,0,60,N,Fail
2065691,AAA,2013J,M,London Region,A Level or Equivalent,30-40%,35-55,0,330,Y,Withdrawn
2073016,AAA,2013J,F,London Region,Lower Than A Level,30-40%,35-55,0,60,N,Withdrawn
2080474,AAA,2013J,F,South Region,A Level or Equivalent,90-100%,35-55,0,60,N,Pass
2083877,AAA,2013J,F,West Midlands Region,A Level or Equivalent,0-10%,0-35,0,120,N,Pass
2084066,AAA,2013J,F,South West Region,Lower Than A Level,50-60%,35-55,0,60,N,Fail
2104505,AAA,2013J,M,West Midlands Region,Lower Than A Level,0-10%,35-55,0,60,N,Pass
2122180,AAA,2013J,F,North Western Region,Lower Than A Level,80-90%,35-55,0,60,N,Distinction
2139353,AAA,2013J,M,London Region,A Level or Equivalent,50-60%,35-55,0,120,N,Withdrawn
2143752,AAA,2013J,F,South Region,Lower Than A Level,70-80%,35-55,0,60,N,Pass
2146792,AAA,2013J,M,North Western Region,HE Qualification,20-30%,55<=,0,60,N,Pass
2149225,AAA,2013J,M,Scotland,A Level or Equivalent,70-80%,35-55,0,60,Y,Withdrawn
2153153,AAA,2013J,F,Yorkshire Region,A Level or Equivalent,40-50%,0-35,0,60,N,Pass
2155014,AAA,2013J,F,West Midlands Region,Lower Than A Level,80-90%,0-35,0,60,Y,Pass
2164705,AAA,2013J,F,North Western Region,A Level or Equivalent,40-50%,0-35,0,120,N,Fail
2171627,AAA,2013J,F,Yorkshire Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass
2182846,AAA,2013J,F,London Region,A Level or Equivalent,70-80%,35-55,0,60,N,Pass
2194100,AAA,2013J,F,East Anglian Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass
2197016,AAA,2013J,F,North Western Region,HE Qualification,30-40%,35-55,0,60,N,Pass
